"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 05 12:44:06 CST 2020","Thu Mar 05 12:44:06 CST 2020","0","scripts","test_login","TestLogin","","","test_login4",""
"passed","Thu Mar 05 12:44:06 CST 2020","Thu Mar 05 12:44:06 CST 2020","1","scripts","test_login","TestLogin","","","test_login1",""
"failed","Thu Mar 05 12:44:06 CST 2020","Thu Mar 05 12:44:06 CST 2020","1","scripts","test_login","TestLogin","","","test_login3",""
"passed","Thu Mar 05 12:44:06 CST 2020","Thu Mar 05 12:44:06 CST 2020","0","scripts","test_login","TestLogin","","","test_login2",""
